time,temperature_2m,relative_humidity_2m
2025-02-20 00:00:00,-2.2,43
2025-02-20 01:00:00,-2.6,49
2025-02-20 02:00:00,-3.3,52
2025-02-20 03:00:00,-4.3,54
2025-02-20 04:00:00,-5.0,53
2025-02-20 05:00:00,-5.1,54
2025-02-20 06:00:00,-5.4,54
2025-02-20 07:00:00,-6.4,60
2025-02-20 08:00:00,-6.9,61
2025-02-20 09:00:00,-7.3,62
2025-02-20 10:00:00,-7.7,64
2025-02-20 11:00:00,-7.7,62
2025-02-20 12:00:00,-7.8,63
2025-02-20 13:00:00,-6.7,62
2025-02-20 14:00:00,-5.8,61
2025-02-20 15:00:00,-4.7,57
2025-02-20 16:00:00,-3.0,49
2025-02-20 17:00:00,-2.1,47
2025-02-20 18:00:00,-1.3,43
2025-02-20 19:00:00,-1.0,43
2025-02-20 20:00:00,-1.4,45
2025-02-20 21:00:00,-2.4,51
2025-02-20 22:00:00,-3.2,65
2025-02-20 23:00:00,-4.1,73
2025-02-21 00:00:00,-4.0,72
2025-02-21 01:00:00,-4.2,69
2025-02-21 02:00:00,-4.6,70
2025-02-21 03:00:00,-4.6,64
2025-02-21 04:00:00,-4.8,56
2025-02-21 05:00:00,-5.0,53
2025-02-21 06:00:00,-5.5,55
2025-02-21 07:00:00,-5.8,53
2025-02-21 08:00:00,-5.8,56
2025-02-21 09:00:00,-5.9,59
2025-02-21 10:00:00,-5.9,56
2025-02-21 11:00:00,-5.7,53
2025-02-21 12:00:00,-5.7,57
2025-02-21 13:00:00,-4.5,53
2025-02-21 14:00:00,-3.5,50
2025-02-21 15:00:00,-2.2,49
2025-02-21 16:00:00,-1.2,46
2025-02-21 17:00:00,-0.0,43
2025-02-21 18:00:00,1.2,40
2025-02-21 19:00:00,1.9,38
2025-02-21 20:00:00,1.9,37
2025-02-21 21:00:00,1.7,36
2025-02-21 22:00:00,0.5,38
2025-02-21 23:00:00,-0.9,40
2025-02-22 00:00:00,-1.4,43
2025-02-22 01:00:00,-2.0,44
2025-02-22 02:00:00,-2.6,47
2025-02-22 03:00:00,-3.2,49
2025-02-22 04:00:00,-3.8,49
2025-02-22 05:00:00,-5.1,53
2025-02-22 06:00:00,-5.6,55
2025-02-22 07:00:00,-5.8,54
2025-02-22 08:00:00,-5.8,54
2025-02-22 09:00:00,-5.9,56
2025-02-22 10:00:00,-5.9,57
2025-02-22 11:00:00,-5.8,60
2025-02-22 12:00:00,-5.8,57
2025-02-22 13:00:00,-4.0,60
